Name,Date_of_Birth,Position,Team
Zhaire Smith,1999-06-04,Small Forward and Shooting Guard,Philadelphia 76ers
Greg Monroe,1990-06-04,Center and Power Forward,Philadelphia 76ers
James Ennis III,1990-07-01,Small Forward and Shooting Guard,Philadelphia 76ers
Jonathon Simmons,1989-09-14,Shooting Guard and Small Forward,Philadelphia 76ers
Jonah Bolden,1996-01-02,Center and Power Forward,Philadelphia 76ers
Furkan Korkmaz,1997-07-24,Shooting Guard,Philadelphia 76ers
Boban Marjanović,1988-08-15,Center,Philadelphia 76ers
Shake Milton,1996-09-26,Shooting Guard and Point Guard,Philadelphia 76ers
Amir Johnson,1987-05-01,Power Forward,Philadelphia 76ers
Haywood Highsmith,1996-12-09,Small Forward,Philadelphia 76ers
Justin Patton,1997-06-14,Center,Philadelphia 76ers
Demetrius Jackson,1994-09-07,Point Guard,Philadelphia 76ers
Devin Booker,1996-10-30,Shooting Guard,Phoenix Suns
Trevor Ariza,1985-06-30,Small Forward and Shooting Guard,Phoenix Suns
T.J. Warren,1993-09-05,Small Forward,Phoenix Suns
Tyler Johnson,1992-05-07,Point Guard and Shooting Guard,Phoenix Suns
Deandre Ayton,1998-07-23,Center,Phoenix Suns
Kelly Oubre Jr.,1995-12-09,Small Forward,Phoenix Suns
Mikal Bridges,1996-08-30,Small Forward,Phoenix Suns
Isaiah Canaan,1991-05-21,Point Guard and Shooting Guard,Phoenix Suns
Josh Jackson,1997-02-10,Small Forward and Shooting Guard,Phoenix Suns
De'Anthony Melton,1998-05-28,Point Guard and Shooting Guard,Phoenix Suns
Jamal Crawford,1980-03-20,Shooting Guard and Point Guard,Phoenix Suns
Ryan Anderson,1988-05-06,Power Forward and Center,Phoenix Suns
Elie Okobo,1997-10-23,Point Guard,Phoenix Suns
Dragan Bender,1997-11-17,Power Forward and Center,Phoenix Suns
Richaun Holmes,1993-10-15,Center and Power Forward,Phoenix Suns
Troy Daniels,1991-07-15,Shooting Guard,Phoenix Suns
Tyson Chandler,1982-10-02,Center and Power Forward,Phoenix Suns
Quincy Acy,1990-10-06,Power Forward and Small Forward,Phoenix Suns
Ray Spalding,1997-03-11,Power Forward and Center,Phoenix Suns
Jimmer Fredette,1989-02-25,Shooting Guard and Point Guard,Phoenix Suns
Emanuel Terry,1996-08-21,Power Forward,Phoenix Suns
Jawun Evans,1996-07-26,Point Guard,Phoenix Suns
George King,1994-01-15,Small Forward,Phoenix Suns
Eric Moreland,1991-12-24,Power Forward,Phoenix Suns
Damian Lillard,1990-07-15,Point Guard,Portland Trail Blazers
CJ McCollum,1991-09-19,Shooting Guard,Portland Trail Blazers
Al-Farouq Aminu,1990-09-21,Power Forward and Small Forward,Portland Trail Blazers
Jusuf Nurkić,1994-08-23,Center,Portland Trail Blazers
Rodney Hood,1992-10-20,Shooting Guard and Small Forward,Portland Trail Blazers
Maurice Harkless,1993-05-11,Small Forward and Power Forward,Portland Trail Blazers
Enes Freedom,1992-05-20,Center,Portland Trail Blazers
Evan Turner,1988-10-27,Small Forward,Portland Trail Blazers
Seth Curry,1990-08-23,Shooting Guard and Point Guard,Portland Trail Blazers
Jake Layman,1994-03-07,Small Forward,Portland Trail Blazers
Zach Collins,1997-11-19,Power Forward and Center,Portland Trail Blazers
Nik Stauskas,1993-10-07,Shooting Guard,Portland Trail Blazers
Meyers Leonard,1992-02-27,Center and Power Forward,Portland Trail Blazers
Caleb Swanigan,1997-04-18,Power Forward and Center,Portland Trail Blazers
Gary Trent Jr.,1999-01-18,Shooting Guard and Small Forward,Portland Trail Blazers
Anfernee Simons,1999-06-08,Shooting Guard,Portland Trail Blazers
Skal Labissière,1996-03-18,Power Forward and Center,Portland Trail Blazers
Wade Baldwin,1996-03-29,Point Guard,Portland Trail Blazers
Harrison Barnes,1992-05-30,Power Forward and Small Forward,Sacramento Kings
Buddy Hield,1992-12-17,Shooting Guard,Sacramento Kings
De'Aaron Fox,1997-12-20,Point Guard,Sacramento Kings
Bogdan Bogdanović,1992-08-18,Shooting Guard,Sacramento Kings
Willie Cauley-Stein,1993-08-18,Center,Sacramento Kings
Iman Shumpert,1990-06-26,Shooting Guard,Sacramento Kings
Marvin Bagley III,1999-03-14,Power Forward and Center,Sacramento Kings
Nemanja Bjelica,1988-05-09,Power Forward and Center,Sacramento Kings
Justin Jackson,1995-03-28,Small Forward and Power Forward,Sacramento Kings
Yogi Ferrell,1993-05-09,Point Guard and Shooting Guard,Sacramento Kings
Troy Williams,1994-12-30,Small Forward,Sacramento Kings
Corey Brewer,1986-03-05,Small Forward,Sacramento Kings
Harry Giles,1998-04-22,Center and Power Forward,Sacramento Kings
Kosta Koufos,1989-02-24,Center,Sacramento Kings
Frank Mason III,1994-04-03,Point Guard,Sacramento Kings
Caleb Swanigan,1997-04-18,Power Forward and Center,Sacramento Kings
Alec Burks,1991-07-20,Shooting Guard and Small Forward,Sacramento Kings
Skal Labissière,1996-03-18,Power Forward and Center,Sacramento Kings
Ben McLemore,1993-02-11,Shooting Guard and Small Forward,Sacramento Kings
B.J. Johnson,1995-12-21,Small Forward,Sacramento Kings
DeMar DeRozan,1989-08-07,Shooting Guard,San Antonio Spurs
LaMarcus Aldridge,1985-07-19,Power Forward and Center,San Antonio Spurs
Bryn Forbes,1993-07-23,Shooting Guard,San Antonio Spurs
Rudy Gay,1986-08-17,Small Forward and Power Forward,San Antonio Spurs
Derrick White,1994-07-02,Shooting Guard and Point Guard,San Antonio Spurs
Patty Mills,1988-08-11,Point Guard,San Antonio Spurs
Marco Belinelli,1986-03-25,Shooting Guard and Small Forward,San Antonio Spurs
Dāvis Bertāns,1992-11-12,Power Forward,San Antonio Spurs
Jakob Poeltl,1995-10-15,Center,San Antonio Spurs
Dante Cunningham,1987-04-22,Power Forward and Small Forward,San Antonio Spurs
Pau Gasol,1980-07-06,Center and Power Forward,San Antonio Spurs
Lonnie Walker IV,1998-12-14,Shooting Guard,San Antonio Spurs
Quincy Pondexter,1988-03-10,Small Forward and Shooting Guard,San Antonio Spurs
Chimezie Metu,1997-03-22,Center and Power Forward,San Antonio Spurs
Drew Eubanks,1997-02-01,Center and Power Forward,San Antonio Spurs
Donatas Motiejūnas,1990-09-20,Power Forward,San Antonio Spurs
Kawhi Leonard,1991-06-29,Small Forward,Toronto Raptors
Kyle Lowry,1986-03-25,Point Guard,Toronto Raptors
Pascal Siakam,1994-04-02,Power Forward,Toronto Raptors
Danny Green,1987-06-22,Shooting Guard and Small Forward,Toronto Raptors
Fred VanVleet,1994-02-25,Point Guard and Shooting Guard,Toronto Raptors
Serge Ibaka,1989-09-18,Power Forward and Center,Toronto Raptors
Marc Gasol,1985-01-29,Center,Toronto Raptors
OG Anunoby,1997-07-17,Small Forward,Toronto Raptors
Jeremy Lin,1988-08-23,Point Guard and Shooting Guard,Toronto Raptors
Jonas Valančiūnas,1992-05-06,Center,Toronto Raptors
Norman Powell,1993-05-25,Shooting Guard and Small Forward,Toronto Raptors
Delon Wright,1992-04-26,Point Guard and Shooting Guard,Toronto Raptors
C.J. Miles,1987-03-18,Small Forward,Toronto Raptors
Patrick McCaw,1995-10-25,Shooting Guard and Small Forward,Toronto Raptors
Jodie Meeks,1987-08-21,Shooting Guard,Toronto Raptors
Greg Monroe,1990-06-04,Center and Power Forward,Toronto Raptors
Eric Moreland,1991-12-24,Power Forward,Toronto Raptors
Lorenzo Brown,1990-08-26,Point Guard,Toronto Raptors
Malcolm Miller,1993-03-06,Small Forward,Toronto Raptors
Chris Boucher,1993-01-11,Power Forward and Center,Toronto Raptors
Malachi Richardson,1996-01-05,Shooting Guard,Toronto Raptors
Jordan Loyd,1993-07-27,Point Guard,Toronto Raptors
Donovan Mitchell,1996-09-07,Shooting Guard and Point Guard,Utah Jazz
Rudy Gobert,1992-06-26,Center,Utah Jazz
Joe Ingles,1987-10-02,Small Forward and Power Forward,Utah Jazz
Ricky Rubio,1990-10-21,Point Guard,Utah Jazz
Jae Crowder,1990-07-06,Small Forward and Power Forward,Utah Jazz
Derrick Favors,1991-07-15,Power Forward and Center,Utah Jazz
Royce O'Neale,1993-06-05,Small Forward,Utah Jazz
Kyle Korver,1981-03-17,Shooting Guard,Utah Jazz
Alec Burks,1991-07-20,Shooting Guard and Small Forward,Utah Jazz
Dante Exum,1995-07-13,Point Guard and Shooting Guard,Utah Jazz
Raul Neto,1992-05-19,Point Guard,Utah Jazz
Thabo Sefolosha,1984-05-02,Shooting Guard,Utah Jazz
Tony Bradley,1998-01-08,Center,Utah Jazz
Grayson Allen,1995-10-08,Shooting Guard,Utah Jazz
Georges Niang,1993-06-17,Power Forward,Utah Jazz
Ekpe Udoh,1987-05-20,Center and Power Forward,Utah Jazz
Naz Mitrou-Long,1993-08-03,Shooting Guard,Utah Jazz
Tyler Cavanaugh,1994-02-09,Power Forward,Utah Jazz
Bradley Beal,1993-06-28,Shooting Guard,Washington Wizards
John Wall,1990-09-06,Point Guard,Washington Wizards
Trevor Ariza,1985-06-30,Small Forward and Shooting Guard,Washington Wizards
Otto Porter Jr.,1993-06-03,Small Forward and Power Forward,Washington Wizards
Bobby Portis,1995-02-10,Power Forward and Center,Washington Wizards
Jabari Parker,1995-03-15,Power Forward,Washington Wizards
Jeff Green,1986-08-28,Power Forward,Washington Wizards
Tomáš Satoranský,1991-10-30,Shooting Guard and Point Guard,Washington Wizards
Markieff Morris,1989-09-02,Power Forward,Washington Wizards
Kelly Oubre Jr.,1995-12-09,Small Forward,Washington Wizards
Dwight Howard,1985-12-08,Center and Power Forward,Washington Wizards
Austin Rivers,1992-08-01,Shooting Guard and Point Guard,Washington Wizards
Thomas Bryant,1997-07-31,Center,Washington Wizards
Sam Dekker,1994-05-06,Power Forward,Washington Wizards
Chasson Randle,1993-02-05,Point Guard,Washington Wizards
Ian Mahinmi,1986-11-05,Center,Washington Wizards
Troy Brown Jr.,1999-07-28,Small Forward,Washington Wizards
Devin Robinson,1995-03-07,Small Forward,Washington Wizards
Wesley Johnson,1987-07-11,Small Forward and Shooting Guard,Washington Wizards
Jordan McRae,1991-03-28,Shooting Guard and Point Guard,Washington Wizards
Ron Baker,1993-03-30,Shooting Guard,Washington Wizards
Jason Smith,1986-03-02,Center and Power Forward,Washington Wizards
Gary Payton II,1992-12-01,Point Guard and Small Forward,Washington Wizards
John Jenkins,1991-03-06,Shooting Guard,Washington Wizards
Okaro White,1992-08-13,Power Forward,Washington Wizards
